,{}
2023-12-20 21:40:46,0.0
2023-12-20 21:41:46,0.0
2023-12-20 21:42:46,0.0
2023-12-20 21:43:46,0.0
2023-12-20 21:44:46,0.0
2023-12-20 21:45:46,0.0
2023-12-20 21:46:46,0.0
2023-12-20 21:47:46,0.0
2023-12-20 21:48:46,0.0
2023-12-20 21:49:46,0.0
2023-12-20 21:50:46,0.0
2023-12-20 21:51:46,0.0
2023-12-20 21:52:46,0.0
2023-12-20 21:53:46,0.0
2023-12-20 21:54:46,0.0
2023-12-20 21:55:46,0.0
2023-12-20 21:56:46,0.0
2023-12-20 21:57:46,0.0
2023-12-20 21:58:46,0.0
2023-12-20 21:59:46,0.0
2023-12-20 22:00:46,0.0
2023-12-20 22:01:46,0.0
2023-12-20 22:02:46,0.0
2023-12-20 22:03:46,0.0
2023-12-20 22:04:46,0.0
2023-12-20 22:05:46,0.0
2023-12-20 22:06:46,0.0
2023-12-20 22:07:46,0.0
2023-12-20 22:08:46,152.3000638971599
