,{}
2023-12-21 16:56:55,0.0
2023-12-21 16:57:55,0.0
2023-12-21 16:58:55,0.0
2023-12-21 16:59:55,0.0
2023-12-21 17:00:55,0.0
2023-12-21 17:01:55,0.0
2023-12-21 17:02:55,0.0
2023-12-21 17:03:55,0.0
2023-12-21 17:04:55,0.0
2023-12-21 17:05:55,0.0
2023-12-21 17:06:55,0.0
2023-12-21 17:07:55,0.0
2023-12-21 17:08:55,0.0
2023-12-21 17:09:55,0.0
2023-12-21 17:10:55,0.0
2023-12-21 17:11:55,0.0
2023-12-21 17:12:55,0.0
2023-12-21 17:13:55,0.0
2023-12-21 17:14:55,0.0
2023-12-21 17:15:55,0.0
2023-12-21 17:16:55,0.0
2023-12-21 17:17:55,0.0
2023-12-21 17:18:55,0.0
2023-12-21 17:19:55,0.0
2023-12-21 17:20:55,0.0
2023-12-21 17:21:55,0.0
