,{}
2023-12-21 16:56:55,979.0
2023-12-21 16:57:55,4877.0
2023-12-21 16:58:55,8838.0
2023-12-21 16:59:55,10003.0
2023-12-21 17:00:55,10003.0
2023-12-21 17:01:55,10003.0
2023-12-21 17:02:55,10003.0
2023-12-21 17:03:55,10003.0
2023-12-21 17:04:55,10003.0
2023-12-21 17:05:55,10003.0
2023-12-21 17:06:55,10003.0
2023-12-21 17:07:55,10003.0
2023-12-21 17:08:55,10003.0
2023-12-21 17:09:55,10003.0
2023-12-21 17:10:55,10003.0
2023-12-21 17:11:55,10003.0
2023-12-21 17:12:55,10003.0
2023-12-21 17:13:55,10003.0
2023-12-21 17:14:55,10003.0
2023-12-21 17:15:55,10003.0
2023-12-21 17:16:55,10003.0
2023-12-21 17:17:55,10003.0
2023-12-21 17:18:55,10003.0
2023-12-21 17:19:55,10003.0
2023-12-21 17:20:55,10003.0
2023-12-21 17:21:55,10003.0
